model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c,baseline_valid_rate,baseline_valid_accuracy,baseline_effective_accuracy,baseline_swap_error,experiment,effective_delta,coverage_component,valid_accuracy_component,decomposition_residual,swap_error_delta,dominant_component
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1000,539,293,0.539,0.5435992578849722,0.293,0.4609999999999999,0.0,0.2656257702088309,0.3219585078041889,0.5013886080767509,0.5851928407722482,0.1138853634140132,0.0081333831773179,0.518,0.03,0.625,0.6875,0.633,0.4628751974723539,0.293,0.367,grid,0.0,-0.043510268562401255,0.043510268562401276,-2.0816681711721685e-17,0.09399999999999992,valid-only_accuracy
OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1000,668,324,0.668,0.4850299401197604,0.324,0.3319999999999999,0.0,0.2957148222722109,0.3536321967147044,0.4473243023972595,0.5229067696251388,-0.0352369803230844,0.3631912596159626,0.478,0.02,0.5,0.8125,0.633,0.4628751974723539,0.293,0.367,grid,0.031000000000000028,0.0162006319115324,0.014799368088467558,6.765421556309548e-17,-0.03500000000000009,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1000,363,175,0.363,0.4820936639118457,0.175,0.637,0.0,0.1527057476303958,0.199781645385215,0.431147955490064,0.5334143923923378,0.0020013386058588,0.969688361880908,0.5,0.02,1.0625,0.75,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.036000000000000004,-0.043400437636761505,0.0074004376367614744,2.6020852139652106e-17,0.09400000000000008,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1000,413,210,0.413,0.5084745762711864,0.21,0.587,0.0,0.1858889193736256,0.2363306005479963,0.4604042590610185,0.556388696274576,0.0506533370094333,0.3044502074718236,0.514,0.041,0.75,0.6875,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.0010000000000000009,-0.020315098468271352,0.019315098468271313,3.8163916471489756e-17,0.04400000000000004,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1000,373,178,0.373,0.4772117962466488,0.178,0.627,0.0,0.1555376102762298,0.2029268221884677,0.4270137624394181,0.5278744283313092,0.0119585820221972,0.8179428681615747,0.509,0.022,1.0,0.75,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.033,-0.03878336980306347,0.005783369803063443,2.3418766925686896e-17,0.08400000000000007,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1000,403,205,0.403,0.5086848635235732,0.205,0.597,0.0,0.1811300864759015,0.2311277010305759,0.4600247526412067,0.5571809668060956,0.048283501253896,0.3336251476321513,0.508,0.029,0.8125,0.625,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.006000000000000005,-0.024932166301969365,0.018932166301969366,-6.938893903907228e-18,0.05400000000000005,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1000,370,173,0.37,0.4675675675675675,0.173,0.63,0.0,0.1508192344529515,0.1976834655966015,0.4173220656201885,0.5184795972673107,-0.0222198123409485,0.6700983478418923,0.499,0.021,1.0,0.6875,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.038000000000000006,-0.04016849015317288,0.0021684901531728367,3.5561831257524545e-17,0.08700000000000008,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1000,434,217,0.434,0.5,0.217,0.5660000000000001,0.0,0.1925608020775196,0.2436051432253045,0.45316617225339,0.5468338277466099,0.030088478539263,0.53186799733614,0.504,0.027,0.6875,0.625,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,0.006000000000000005,-0.01061925601750548,0.01661925601750546,2.42861286636753e-17,0.02300000000000013,valid-only_accuracy
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1000,398,193,0.398,0.4849246231155779,0.193,0.602,0.0,0.1697330135542738,0.218616616155857,0.4362040511900988,0.5339334253280856,-0.0019264295453128,0.969439476955222,0.507,0.02,0.9375,0.6875,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,-0.017999999999999988,-0.02724070021881838,0.009240700218818369,2.2551405187698492e-17,0.05900000000000005,valid_coverage/consistency
OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,1000,407,218,0.407,0.5356265356265356,0.218,0.593,0.0,0.1935148145806916,0.2446434772051615,0.4870668845833212,0.5835199546398757,0.1138466690045967,0.0216085302880141,0.527,0.033,0.75,0.625,0.457,0.4617067833698031,0.211,0.5429999999999999,grid,0.007000000000000006,-0.023085339168490177,0.030085339168490138,4.5102810375396984e-17,0.050000000000000044,valid-only_accuracy
