rq0_id,language,condition,ssim_vs_baseline
dorn_cuda_094,cuda,gaussian_sigma_1,0.9280678696166276
dorn_cuda_094,cuda,gaussian_sigma_2,0.814616376683318
dorn_cuda_094,cuda,gaussian_sigma_4,0.7423258171344996
dorn_cuda_095,cuda,gaussian_sigma_1,0.9366426603648558
dorn_cuda_095,cuda,gaussian_sigma_2,0.8362347757787411
dorn_cuda_095,cuda,gaussian_sigma_4,0.7733541045524226
dorn_cuda_096,cuda,gaussian_sigma_1,0.9683926806980684
dorn_cuda_096,cuda,gaussian_sigma_2,0.9186919642048189
dorn_cuda_096,cuda,gaussian_sigma_4,0.8904431310941949
dorn_cuda_097,cuda,gaussian_sigma_1,0.9132549222965438
dorn_cuda_097,cuda,gaussian_sigma_2,0.772460146142325
dorn_cuda_097,cuda,gaussian_sigma_4,0.6896788120711369
dorn_cuda_098,cuda,gaussian_sigma_1,0.9007564623901677
dorn_cuda_098,cuda,gaussian_sigma_2,0.7355461363735324
dorn_cuda_098,cuda,gaussian_sigma_4,0.628435717424334
dorn_cuda_099,cuda,gaussian_sigma_1,0.9270329226046309
dorn_cuda_099,cuda,gaussian_sigma_2,0.8122358655479087
dorn_cuda_099,cuda,gaussian_sigma_4,0.7396048337305424
dorn_cuda_100,cuda,gaussian_sigma_1,0.9258200045038265
dorn_cuda_100,cuda,gaussian_sigma_2,0.8086970650098433
dorn_cuda_100,cuda,gaussian_sigma_4,0.734155709640476
dorn_cuda_101,cuda,gaussian_sigma_1,0.9330888081262826
dorn_cuda_101,cuda,gaussian_sigma_2,0.8231269822646542
dorn_cuda_101,cuda,gaussian_sigma_4,0.7546560083125907
dorn_cuda_102,cuda,gaussian_sigma_1,0.9522647368099916
dorn_cuda_102,cuda,gaussian_sigma_2,0.8751334085674692
dorn_cuda_102,cuda,gaussian_sigma_4,0.8249593281469627
dorn_cuda_103,cuda,gaussian_sigma_1,0.9158912180679263
dorn_cuda_103,cuda,gaussian_sigma_2,0.7784795598333146
dorn_cuda_103,cuda,gaussian_sigma_4,0.6923180162751583
dorn_cuda_104,cuda,gaussian_sigma_1,0.9225638683873503
dorn_cuda_104,cuda,gaussian_sigma_2,0.7973786220555402
dorn_cuda_104,cuda,gaussian_sigma_4,0.7198751799609772
dorn_cuda_105,cuda,gaussian_sigma_1,0.9309559289054364
dorn_cuda_105,cuda,gaussian_sigma_2,0.8191724155062156
dorn_cuda_105,cuda,gaussian_sigma_4,0.7462731433080582
dorn_cuda_106,cuda,gaussian_sigma_1,0.9261928586163825
dorn_cuda_106,cuda,gaussian_sigma_2,0.8029129095712858
