model,language,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1000,461,288,0.461,0.6247288503253796,0.288,0.5389999999999999,0.0,0.2607870341550728,0.3168355114428025,0.579669670607377,0.667726506772661,0.30328131734767155,2.904341376109275e-11,0.593,0.017,0.8125,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1000,500,327,0.5,0.654,0.327,0.5,0.0,0.2986345103891364,0.35668954804686565,0.6112729349259212,0.6943787682119209,0.3761121192952401,3.0130118684524378e-18,0.595,0.033,0.75,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,1000,460,284,0.46,0.6173913043478261,0.284,0.54,0.0,0.2569190250903582,0.3127341345754016,0.5721779934885949,0.6606601841822572,0.2806541881718253,8.980856145263724e-10,0.585,0.028,0.875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,1000,589,377,0.589,0.6400679117147708,0.377,0.41100000000000003,0.0,0.347487093401629,0.4074542891858176,0.6005127632370502,0.6778078527472389,0.3343730049759951,7.493440289776954e-17,0.59,0.025,0.5625,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,1000,523,332,0.523,0.6347992351816444,0.332,0.477,0.0,0.30350363489239063,0.36178215595875596,0.5926903716122556,0.674942324409088,0.31876198117250437,8.137664238942249e-14,0.593,0.018,0.6875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,1000,514,331,0.514,0.6439688715953308,0.331,0.486,0.0,0.3025295138380275,0.36076393053009015,0.6016463460470537,0.6841554133119744,0.34063975184893663,1.9765380832510957e-15,0.594,0.03,0.6875,0.625
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,1000,528,323,0.528,0.6117424242424242,0.323,0.472,0.0,0.2947418927752481,0.35261277972863847,0.5695082944111866,0.6523623364750427,0.2812235836320914,4.705622556437053e-11,0.6,0.021,0.6875,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,1000,635,411,0.635,0.647244094488189,0.411,0.365,0.0,0.3809022198018245,0.4417789432086042,0.6092951687472238,0.6834222142873766,0.35378062034802477,3.6980636820878007e-20,0.611,0.033,0.4375,0.625
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,1000,412,322,0.412,0.7815533980582524,0.322,0.5880000000000001,0.0,0.29376911381672366,0.351593212204134,0.7391540671439621,0.8187508629174621,0.5699265413634144,7.392726458686473e-37,0.653,0.026,1.0,0.6875
Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap80__lnon,1000,424,322,0.424,0.7594339622641509,0.322,0.5760000000000001,0.0,0.29376911381672366,0.351593212204134,0.7165363661159341,0.79767280053755,0.5271540631666376,1.070525725446619e-31,0.672,0.022,0.9375,0.6875
