experiment,model,language,difficulty_rank,condition,n_pairs,n_valid,n_correct,valid_rate,valid_accuracy,effective_accuracy,strict_swap_error,parse_failure_rate,effective_ci_low,effective_ci_high,valid_accuracy_ci_low,valid_accuracy_ci_high,spearman_valid_only,spearman_p,debiased_accuracy,debiased_tie_rate,median_abs_b,median_abs_c
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,friendly_light__fs20__wrap80__lnon,333,136,100,0.4084084084084084,0.7352941176470589,0.3003003003003003,0.5915915915915916,0.0,0.25357295346930947,0.3515825387743044,0.655424390111397,0.8022367394257408,0.45161537954253533,3.418926198295781e-08,0.6366366366366366,0.021021021021021023,0.9375,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,friendly_light__fs24__wrap60__lnon,333,130,99,0.39039039039039036,0.7615384615384615,0.2972972972972973,0.6096096096096096,0.0,0.25074340262976375,0.34847457821901734,0.681447575620172,0.8266162231396638,0.49269909198883827,2.607733296538908e-09,0.6156156156156156,0.018018018018018018,0.9375,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,friendly_light__fs24__wrap80__lnon,333,167,112,0.5015015015015015,0.6706586826347305,0.33633633633633636,0.4984984984984985,0.0,0.28771422887113873,0.38869140011046965,0.596243518406001,0.7373991488567743,0.3622451894208315,1.5057123660427095e-06,0.6276276276276276,0.024024024024024024,0.75,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,mono_light__fs20__wrap60__lnon,333,131,105,0.3933933933933934,0.8015267175572519,0.3153153153153153,0.6066066066066066,0.0,0.26775725467157613,0.3670857945462021,0.7250704184045625,0.8608028040518224,0.5547407481584237,6.194728324052575e-12,0.6306306306306306,0.024024024024024024,1.0,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,mono_light__fs20__wrap80__lnon,333,133,102,0.3993993993993994,0.7669172932330827,0.3063063063063063,0.6006006006006006,0.0,0.2592394243282241,0.35779109070505544,0.6881907498626603,0.8306578550256623,0.4959910378821741,1.2736814671657207e-09,0.6486486486486487,0.03003003003003003,0.9375,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,mono_light__fs24__wrap60__lnon,333,129,96,0.38738738738738737,0.7441860465116279,0.2882882882882883,0.6126126126126126,0.0,0.24226974375508306,0.33913570290919937,0.6625928896044233,0.8116566448352407,0.46657844858827446,2.5018512238188362e-08,0.6186186186186187,0.02702702702702703,1.0,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,mono_light__fs24__wrap80__lnon,333,161,108,0.48348348348348347,0.6708074534161491,0.32432432432432434,0.5165165165165165,0.0,0.27629638569955234,0.3763591977027246,0.5949803418810569,0.7386735847068298,0.35556016556097175,3.682157542906101e-06,0.6216216216216216,0.015015015015015015,0.75,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,monokai_dark__fs20__wrap60__lnon,333,151,114,0.45345345345345345,0.7549668874172185,0.34234234234234234,0.5465465465465466,0.0,0.2934367258067405,0.39484392596453366,0.6806011971009868,0.8166816403667597,0.4964787363390034,8.98274880739143e-11,0.6576576576576577,0.021021021021021023,0.875,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,monokai_dark__fs20__wrap80__lnon,333,135,99,0.40540540540540543,0.7333333333333333,0.2972972972972973,0.5945945945945945,0.0,0.25074340262976375,0.34847457821901734,0.6530377880086051,0.8007171677165499,0.4731738518034034,6.814331892012085e-09,0.6426426426426426,0.024024024024024024,0.875,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,monokai_dark__fs24__wrap60__lnon,333,136,102,0.4084084084084084,0.75,0.3063063063063063,0.5915915915915916,0.0,0.2592394243282241,0.35779109070505544,0.6710366596626747,0.8152282904705341,0.46105554676750954,1.6174035022481192e-08,0.6396396396396397,0.03003003003003003,0.875,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,middle,monokai_dark__fs24__wrap80__lnon,333,174,121,0.5225225225225225,0.6954022988505747,0.3633633633633634,0.4774774774774775,0.0,0.3135348278440262,0.41630840369107813,0.6234085012066446,0.7589545341110084,0.39171500182456037,9.042370079532054e-08,0.6426426426426426,0.02702702702702703,0.6875,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,near,friendly_light__fs20__wrap60__lnon,334,120,81,0.3592814371257485,0.675,0.24251497005988024,0.6407185628742516,0.0,0.19964571000455222,0.29123974674074554,0.5869018408594733,0.7522414508939805,0.24682736637586453,0.006572924380277455,0.5808383233532934,0.017964071856287425,1.0,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,near,friendly_light__fs20__wrap80__lnon,334,123,81,0.36826347305389223,0.6585365853658537,0.24251497005988024,0.6317365269461077,0.0,0.19964571000455222,0.29123974674074554,0.5710718086813957,0.7363986379896037,0.23808286577741275,0.008007556691619995,0.6407185628742516,0.02694610778443114,0.875,0.5625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,near,friendly_light__fs24__wrap60__lnon,334,122,74,0.3652694610778443,0.6065573770491803,0.2215568862275449,0.6347305389221557,0.0,0.18032583070298924,0.26912007019599554,0.5178907917103079,0.6887183833871156,0.16185280777546446,0.07489908326336234,0.5808383233532934,0.014970059880239521,0.9375,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,near,friendly_light__fs24__wrap80__lnon,334,159,94,0.47604790419161674,0.5911949685534591,0.281437125748503,0.5239520958083832,0.0,0.23590508031408208,0.3319395515743684,0.513505698427446,0.6645816277978251,0.14493885520422997,0.06832963794941051,0.6017964071856288,0.038922155688622756,0.6875,0.5625
