snippet_id,dataset_name,ocr_engine,parse_status,char_error_rate,original_num_lines,ocr_num_lines,token_precision,token_recall,token_f1,indent_mean_abs_delta,runtime_sec,mean_confidence,line_count_abs_diff
dorn_cuda_099,Dorn,easyocr,ok,0.29726027397260274,51,133,0.7735849056603774,0.6932367149758454,0.7312101910828026,9.488372093023257,4.943471193313599,0.8680268526075106,82
dorn_python_000,Dorn,easyocr,ok,0.4168126094570928,31,110,0.7626262626262627,0.7783505154639175,0.7704081632653063,10.666666666666666,2.927110433578491,0.90323562870712,79
dorn_python_001,Dorn,easyocr,ok,0.5428571428571428,11,33,0.7115384615384616,0.7551020408163265,0.7326732673267328,9.777777777777779,0.8044977188110352,0.9001683406439565,22
dorn_python_010,Dorn,easyocr,ok,0.41317365269461076,31,110,0.37037037037037035,0.47619047619047616,0.4166666666666667,8.541666666666666,3.576380968093872,0.9313719913339183,79
dorn_python_100,Dorn,easyocr,ok,0.28363636363636363,31,77,0.7115384615384616,0.7302631578947368,0.7207792207792207,6.55,3.473108291625977,0.8907305505752352,46
dorn_python_101,Dorn,easyocr,ok,0.2777777777777778,10,19,0.34210526315789475,0.52,0.41269841269841273,3.0,0.7455918788909912,0.9011232125679932,9
dorn_python_102,Dorn,easyocr,ok,0.2736077481840194,31,94,0.825,0.5963855421686747,0.6923076923076922,3.52,3.155519962310791,0.923499639949517,63
dorn_python_103,Dorn,easyocr,ok,0.44375,10,33,0.35714285714285715,0.6896551724137931,0.47058823529411764,8.0,0.8883547782897949,0.9085009915520036,23
dorn_python_104,Dorn,easyocr,ok,0.24899598393574296,31,156,0.7094972067039106,0.31203931203931207,0.4334470989761093,7.857142857142857,6.272887229919434,0.8595062237966118,125
dorn_python_105,Dorn,easyocr,ok,0.2730627306273063,11,30,0.425531914893617,0.5882352941176471,0.49382716049382713,4.0,0.779008150100708,0.9373428598784372,19
dorn_python_106,Dorn,easyocr,ok,0.4732360097323601,30,155,0.5965665236051502,0.5285171102661597,0.5604838709677419,14.461538461538462,5.027791738510132,0.9044649402815016,125
dorn_python_107,Dorn,easyocr,ok,0.3546845124282983,29,140,0.1822429906542056,0.6964285714285714,0.2888888888888889,1.1428571428571428,3.609219551086426,0.9298582070511676,111
dorn_python_108,Dorn,easyocr,ok,0.44021739130434784,49,173,0.3485714285714286,0.4206896551724138,0.38125000000000003,6.95,5.252513647079468,0.921718967322914,124
dorn_python_109,Dorn,easyocr,ok,0.4407039020657995,30,185,0.2706766917293233,0.3582089552238806,0.3083511777301927,3.9565217391304346,5.020972967147827,0.8772473589664452,155
dorn_python_011,Dorn,easyocr,ok,0.23278688524590163,11,39,0.0,0.0,0.0,0.0,0.7696259021759033,0.930976562860717,28
dorn_python_110,Dorn,easyocr,ok,0.375,30,79,0.5769230769230769,0.2564102564102564,0.35502958579881655,5.0,2.775123119354248,0.8951571677052998,49
dorn_python_111,Dorn,easyocr,ok,0.46675151129494113,51,285,0.75,0.5217391304347826,0.6153846153846153,19.075,10.152546882629396,0.9006806127657753,234
dorn_python_112,Dorn,easyocr,ok,0.4779270633397313,11,32,0.7323943661971831,0.7878787878787878,0.7591240875912407,22.666666666666668,1.115535020828247,0.8835891022459019,21
dorn_python_113,Dorn,easyocr,ok,0.3696155627605373,51,192,0.757396449704142,0.757396449704142,0.7573964497041421,10.090909090909092,7.526523113250732,0.9254365638883254,141
dorn_python_114,Dorn,easyocr,ok,0.41916167664670656,11,33,0.6428571428571429,0.6666666666666666,0.6545454545454545,8.444444444444445,0.9970111846923828,0.910779938526972,22
dorn_python_115,Dorn,easyocr,ok,0.29781021897810217,51,109,0.7188755020080321,0.7396694214876033,0.7291242362525459,6.909090909090909,4.32526159286499,0.8963895413995027,58
dorn_python_116,Dorn,easyocr,ok,0.3809128630705394,31,130,0.43946188340807174,0.7967479674796748,0.5664739884393063,8.0,3.7101099491119385,0.9083346386123006,99
dorn_python_117,Dorn,easyocr,ok,0.4637305699481865,11,32,0.47368421052631576,0.8181818181818182,0.6,12.5,0.8583638668060303,0.8707888057483335,21
dorn_python_118,Dorn,easyocr,ok,0.28923076923076924,11,32,0.5882352941176471,0.6382978723404256,0.6122448979591838,1.75,1.124434232711792,0.9094549008274893,21
dorn_python_012,Dorn,easyocr,ok,0.40102564102564103,31,127,0.6804123711340206,0.46808510638297873,0.5546218487394958,7.454545454545454,3.164867401123047,0.9337808112401926,96
dorn_python_013,Dorn,easyocr,ok,0.5020576131687243,11,23,0.7777777777777778,0.7446808510638298,0.7608695652173912,9.5,0.7141311168670654,0.9003433784864319,12
dorn_python_014,Dorn,easyocr,ok,0.43646864686468645,31,108,0.6845238095238095,0.3859060402684564,0.49356223175965663,9.037037037037036,3.5389528274536133,0.8650006882393081,77
dorn_python_015,Dorn,easyocr,ok,0.42480211081794195,32,83,0.0,0.0,0.0,3.142857142857143,2.20743989944458,0.941182010643589,51
dorn_python_016,Dorn,easyocr,ok,0.38496583143507973,31,113,0.5632183908045977,0.26063829787234044,0.35636363636363644,10.592592592592593,3.9254848957061768,0.8617029093452087,82
dorn_python_017,Dorn,easyocr,ok,0.2896430661205383,50,184,0.6884735202492211,0.574025974025974,0.6260623229461757,6.325581395348837,6.544427871704102,0.8615753763257407,134
dorn_python_018,Dorn,easyocr,ok,0.49150743099787686,50,203,0.2159827213822894,0.6756756756756757,0.32733224222585927,7.3076923076923075,6.457115411758423,0.88524620489966,153
dorn_python_019,Dorn,easyocr,ok,0.25569176882662,49,190,0.7760814249363868,0.6762749445676275,0.7227488151658769,5.463414634146342,7.421054840087891,0.8735747258361938,141
dorn_python_002,Dorn,easyocr,ok,0.32954545454545453,51,125,0.6505376344086021,0.521551724137931,0.5789473684210528,5.176470588235294,4.991186857223511,0.8883365216733347,74
dorn_python_020,Dorn,easyocr,ok,0.30606060606060603,11,27,0.7560975609756098,0.4246575342465753,0.543859649122807,4.0,0.939314603805542,0.8088978696622007,16
dorn_python_021,Dorn,easyocr,ok,0.1810344827586207,9,21,0.0,0.0,0.0,0.0,0.8388330936431885,0.937980170669776,12
dorn_python_022,Dorn,easyocr,ok,0.36836283185840707,31,125,0.27672955974842767,0.55,0.36820083682008375,6.074074074074074,3.5075948238372803,0.9422303351588116,94
dorn_python_023,Dorn,easyocr,ok,0.31473214285714285,11,28,0.8953488372093024,0.7475728155339806,0.8148148148148149,8.444444444444445,1.2599852085113523,0.9084511695121684,17
dorn_python_024,Dorn,easyocr,ok,0.46005509641873277,11,38,0.7,0.6774193548387096,0.6885245901639343,10.222222222222221,0.9101359844207764,0.8928020473943515,27
dorn_python_025,Dorn,easyocr,ok,0.3235294117647059,9,20,0.22857142857142856,0.2962962962962963,0.25806451612903225,0.0,0.466010570526123,0.887736295955811,11
dorn_python_026,Dorn,easyocr,ok,0.31769722814498935,30,104,0.6556016597510373,0.6752136752136753,0.6652631578947368,4.64,3.0159358978271484,0.8620777528078787,74
dorn_python_027,Dorn,easyocr,ok,0.2198581560283688,11,34,0.640625,0.7454545454545455,0.6890756302521008,0.0,0.8368942737579346,0.901472263363226,23
dorn_python_028,Dorn,easyocr,ok,0.23010752688172043,11,27,0.8446601941747572,0.7767857142857143,0.8093023255813954,7.5,1.0768349170684814,0.9127003535888064,16
dorn_python_029,Dorn,easyocr,ok,0.38395061728395063,30,85,0.5722543352601156,0.526595744680851,0.5484764542936288,1.0,2.662402629852295,0.8348448991671303,55
dorn_python_003,Dorn,easyocr,ok,0.322202166064982,51,137,0.821882951653944,0.7546728971962616,0.786845310596833,10.225,6.310621738433838,0.8736596868797603,86
dorn_python_030,Dorn,easyocr,ok,0.3657230298393267,50,149,0.6818181818181818,0.25597269624573377,0.3722084367245657,4.7368421052631575,4.680341482162476,0.8825047319969339,99
dorn_python_031,Dorn,easyocr,ok,0.47414372061786436,50,159,0.7429718875502008,0.6357388316151202,0.6851851851851852,9.347826086956522,4.471329212188721,0.8632958916940865,109
dorn_python_032,Dorn,easyocr,ok,0.34818941504178275,31,94,0.6298701298701299,0.7293233082706767,0.6759581881533101,2.9565217391304346,2.540557622909546,0.9055652499781688,63
dorn_python_033,Dorn,easyocr,ok,0.4187380497131931,11,48,0.5188679245283019,0.6470588235294118,0.5759162303664921,9.1,1.4095680713653564,0.8927108243633658,37
dorn_python_034,Dorn,easyocr,ok,0.4024390243902439,31,96,0.5242718446601942,0.34394904458598724,0.4153846153846154,3.5384615384615383,2.6501567363739014,0.8921623363732868,65
dorn_python_035,Dorn,easyocr,ok,0.365832614322692,51,101,0.7425742574257426,0.7936507936507936,0.7672634271099744,8.461538461538462,3.9835338592529297,0.8484694986019485,50
dorn_python_036,Dorn,easyocr,ok,0.40903141361256545,51,127,0.7104247104247104,0.7104247104247104,0.7104247104247104,10.0,4.828343629837036,0.901154745008926,76
dorn_python_037,Dorn,easyocr,ok,0.28334589299171065,31,95,0.717391304347826,0.6111111111111112,0.6599999999999999,7.708333333333333,3.847586154937744,0.8741566451814107,64
dorn_python_038,Dorn,easyocr,ok,0.3137254901960784,30,71,0.6153846153846154,0.5614035087719298,0.5871559633027522,0.7272727272727273,2.2979841232299805,0.919985259226786,41
dorn_python_039,Dorn,easyocr,ok,0.37490664675130697,51,141,0.6340579710144928,0.7882882882882883,0.7028112449799198,7.777777777777778,5.36348557472229,0.8857345075502726,90
dorn_python_004,Dorn,easyocr,ok,0.4250135354629128,51,161,0.6952054794520548,0.6444444444444445,0.6688632619439868,10.488372093023257,5.626045227050781,0.9137831768764444,110
dorn_python_040,Dorn,easyocr,ok,0.3612040133779264,31,85,0.5843373493975904,0.7132352941176471,0.642384105960265,9.0,3.0608348846435547,0.9028054368117155,54
dorn_python_042,Dorn,easyocr,ok,0.37396298659859606,51,139,0.6847826086956522,0.5142857142857142,0.5874125874125873,9.7,44.51031970977783,0.9167578987166944,88
dorn_python_043,Dorn,easyocr,ok,0.2768754833720031,51,152,0.7985074626865671,0.7086092715231788,0.7508771929824563,9.363636363636363,54.37429618835449,0.873675572304551,101
