model_key,scope,language,decile,run,model,n_pairs,c_ties,strict_valid_pairs,correct_strict_valid_pairs,valid_accuracy,effective_accuracy,debiased_accuracy,non_tie_pairs,valid_accuracy_non_tie,effective_accuracy_non_tie,debiased_accuracy_non_tie,abs_c_min,abs_c_median,abs_c_max
gemma,language,java,9,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,347,0,347,234,0.6743515850144092,0.6743515850144092,0.6743515850144092,347,0.6743515850144092,0.6743515850144092,0.6743515850144092,8.5,8.875,9.125
gemma,language,java,10,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,402,0,402,276,0.6865671641791045,0.6865671641791045,0.6865671641791045,402,0.6865671641791045,0.6865671641791045,0.6865671641791045,9.25,9.625,12.375
gemma,language,python,1,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,390,24,15,9,0.6,0.023076923076923078,0.5230769230769231,366,0.6,0.02459016393442623,0.5573770491803278,0.0,0.625,1.25
gemma,language,python,2,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,356,0,59,35,0.5932203389830508,0.09831460674157304,0.5561797752808989,356,0.5932203389830508,0.09831460674157304,0.5561797752808989,1.25,1.875,2.5
gemma,language,python,3,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,336,0,179,92,0.5139664804469274,0.27380952380952384,0.5625,336,0.5139664804469274,0.27380952380952384,0.5625,2.625,3.25,3.875
gemma,language,python,4,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,306,0,271,164,0.6051660516605166,0.5359477124183006,0.5882352941176471,306,0.6051660516605166,0.5359477124183006,0.5882352941176471,3.875,4.5,5.125
gemma,language,python,5,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,283,0,282,196,0.6950354609929078,0.6925795053003534,0.696113074204947,283,0.6950354609929078,0.6925795053003534,0.696113074204947,5.125,5.625,6.0
gemma,language,python,6,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,276,0,276,169,0.6123188405797102,0.6123188405797102,0.6123188405797102,276,0.6123188405797102,0.6123188405797102,0.6123188405797102,6.125,6.5,6.875
gemma,language,python,7,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,302,0,302,194,0.6423841059602649,0.6423841059602649,0.6423841059602649,302,0.6423841059602649,0.6423841059602649,0.6423841059602649,7.0,7.375,7.625
gemma,language,python,8,rq1_model_battery_3lang_20260723,google/gemma-3-12b-it,276,0,276,189,0.6847826086956522,0.6847826086956522,0.6847826086956522,276,0.6847826086956522,0.6847826086956522,0.6847826086956522,7.75,8.0,8.25
